race_id,nirenpuku_result,payout_nirenpuku_100
2320260112030008,4-6,2310
2320260112030009,3-4,1370
2320260112030010,1-2,460
2320260112030011,4-6,170
2320260112030012,2-6,2020
2820260112030001,4-7,5320
2820260112030002,1-5,140
2820260112030003,2-4,300
2820260112030004,4-5,870
2820260112030005,2-7,1790
2820260112030006,1-2,1630
2820260112030007,1-3,250
4320260112030001,3-5,430
4320260112030002,2-5,200
4320260112030003,5-7,650
4320260112030004,3-7,170
4320260112030005,6-7,2490
4320260112030006,1-5,1370
4320260112030007,2-5,180
4320260112030008,2-7,390
4320260112030009,4-5,390
4320260112030010,2-5,1350
5620260113020001,3-7,170
5620260113020002,1-5,530
5620260113020003,3-5,150
5620260113020004,4-5,240
5620260113020005,1-6,560
5620260113020006,3-5,630
5620260113020007,2-6,380
5620260113020008,3-7,210
5620260113020009,1-5,250
5620260113020010,3-5,340
5620260113020011,5-7,120
8120260113020001,2-4,190
8120260113020002,1-7,140
8120260113020003,1-4,1870
8120260113020004,1-5,4070
8120260113020005,2-5,340
8120260113020006,2-3,200
8120260113020007,2-7,150
8120260113020008,2-4,1300
8120260113020009,2-4,160
8120260113020010,1-7,220
2520260115010001,1-7,420
2520260115010002,1-2,2110
2520260115010003,5-7,750
2520260115010004,1-4,940
2520260115010005,1-5,650
2520260115010006,1-3,2570
2520260115010007,3-5,130
2520260115010008,3-7,3030
2520260115010009,1-9,180
2520260115010010,1-7,130
2520260115010011,1-5,2460
2520260115010012,5-9,2570
4420260115010001,2-4,160
4420260115010002,1-5,190
4420260115010003,2-4,2790
4420260115010004,2-5,100
4420260115010005,2-5,800
4420260115010006,1-4,400
4420260115010007,2-5,120
4420260115010008,2-4,2850
4420260115010009,3-4,180
4420260115010010,3-4,1000
4420260115010011,1-7,170
4420260115010012,2-3,3590
5620260113030001,2-3,850
5620260113030002,3-7,310
5620260113030003,1-3,380
5620260113030004,1-4,570
5620260113030005,2-3,720
5620260113030006,1-2,780
5620260113030007,2-6,2650
5620260113030008,2-5,900
5620260113030009,2-4,180
5620260113030010,1-4,270
5620260113030011,2-5,2090
6120260115010001,1-5,1250
6120260115010002,2-4,4580
6120260115010003,3-5,110
8120260113030001,1-5,880
8120260113030002,2-7,150
8620260115010001,2-5,560
8620260115010002,2-5,100
8620260115010003,1-5,380
8620260115010004,2-7,960
8620260115010005,1-4,100
8620260115010006,2-5,200
8620260115010007,5-7,670
2520260115020001,2-9,340
2520260115020002,3-5,1000
2520260115020003,1-2,1150
2520260115020004,2-9,2350
2520260115020005,2-9,620
2520260115020006,2-9,1350
2520260115020007,5-9,1470
2520260115020008,1-5,130
2520260115020009,1-3,610
2520260115020010,2-7,360
2520260115020011,1-5,120
2520260115020012,5-9,5380
3720260116010001,3-4,720
3720260116010002,3-4,450
3720260116010003,4-5,470
4420260115020001,2-5,1090
4420260115020002,5-7,850
4420260115020003,1-3,1270
4420260115020004,2-4,1370
4420260115020005,1-7,130
4420260115020006,1-2,450
4420260115020007,1-5,750
4420260115020008,2-7,310
4420260115020009,4-5,340
4420260115020010,3-6,450
4420260115020011,2-5,830
4420260115020012,4-5,690
6120260115020001,1-5,220
