race_id,競輪場,レース番号,開始時間,買い目,a,b,odds,p,EV
2620260312010001,西武園競輪,1R,15:45,1-2,1,2,89.8,0.053153362407508065,3.7731719441942237
2620260312010004,西武園競輪,4R,16:59,3-6,3,6,282.0,0.016880317516416603,3.7602495396294824
3820260310030004,静岡競輪,4R,17:11,2-7,2,7,162.2,0.029258408371101774,3.7457138377927075
7420260310030001,高知競輪,1R,20:50,1-4,1,4,43.5,0.10843009090854017,3.716708954521497
2620260312010004,西武園競輪,4R,16:59,5-6,5,6,409.0,0.011440547173747187,3.6791837940625998
2420260309040008,宇都宮競輪,8R,14:26,2-7,2,7,86.3,0.053823526259176704,3.6449703161669493
2320260312010006,取手競輪,6R,13:00,6-7,6,7,265.3,0.017388340026159722,3.613126608940174
2420260309040008,宇都宮競輪,8R,14:26,5-6,5,6,93.9,0.048446532040200815,3.5491293585748567
2420260309040004,宇都宮競輪,4R,12:34,1-5,1,5,148.7,0.030218400851674786,3.49347620664404
5520260312010005,和歌山競輪,5R,10:13,4-7,4,7,85.2,0.05262493166046538,3.4836441774716507
5520260312010007,和歌山競輪,7R,10:55,6-7,6,7,555.1,0.008044976924742441,3.4657666909245295
4520260310030002,豊橋競輪,2R,21:00,1-6,1,6,39.7,0.11241193680580447,3.462753891190438
2320260312010007,取手競輪,7R,13:25,2-6,2,6,110.5,0.04032854723610752,3.456304469589881
2620260312010002,西武園競輪,2R,16:15,4-5,4,5,226.7,0.01964194209669769,3.4528282733213667
2320260312010007,取手競輪,7R,13:25,3-4,3,4,130.1,0.034205126464089936,3.4500869529781006
2620260312010008,西武園競輪,8R,18:38,3-9,3,9,113.5,0.039010927277940095,3.427740246046201
2620260312010003,西武園競輪,3R,16:36,1-5,1,5,206.3,0.021168781075469024,3.36711953586926
2320260312010010,取手競輪,10R,14:45,6-8,6,8,440.0,0.00989055924478941,3.3518460677073403
5520260312010004,和歌山競輪,4R,09:52,2-6,2,6,71.6,0.06054101173491673,3.3347364402200377
5520260312010006,和歌山競輪,6R,10:34,1-4,1,4,236.6,0.018283544228612485,3.325886564489714
2420260309040002,宇都宮競輪,2R,11:42,3-6,3,6,166.3,0.02573347756204935,3.279477318568807
3820260310030004,静岡競輪,4R,17:11,5-7,5,7,162.2,0.026301843280785893,3.266158980143471
2320260312010002,取手競輪,2R,11:27,1-4,1,4,239.4,0.017817993582916792,3.26562766375028
2420260309040006,宇都宮競輪,6R,13:30,4-6,4,6,318.0,0.013394492320420618,3.259448557893757
2420260309040009,宇都宮競輪,9R,14:54,6-7,6,7,271.0,0.015701211549122625,3.255028329812231
2420260309040004,宇都宮競輪,4R,12:34,1-7,1,7,118.9,0.035702403662582594,3.2450157954810708
2420260309040010,宇都宮競輪,10R,15:24,2-7,2,7,124.1,0.034112997613855806,3.233423003879505
4520260310030008,豊橋競輪,8R,23:00,2-4,2,4,68.7,0.06157781078447714,3.23039560089358
2320260312010001,取手競輪,1R,11:05,5-8,5,8,296.5,0.014242632414057078,3.2229405107679234
2620260312010009,西武園競輪,9R,19:04,4-8,4,8,147.0,0.028593379299563206,3.2032267570357913
2620260312010005,西武園競輪,5R,17:23,1-8,1,8,227.5,0.018439763212850062,3.195046130923389
3820260310030010,静岡競輪,10R,19:45,4-5,4,5,92.8,0.04518040105305833,3.192741217723813
2320260312010003,取手競輪,3R,11:50,2-4,2,4,98.8,0.04180231204108096,3.130068429658799
4520260310030008,豊橋競輪,8R,23:00,3-7,3,7,137.5,0.029946710954098024,3.1176727561884787
2420260309040008,宇都宮競輪,8R,14:26,6-7,6,7,152.1,0.0269839786638576,3.104263154772741
2320260312010011,取手競輪,11R,15:12,1-5,1,5,73.9,0.05537044141053048,3.091875620238203
2320260312010002,取手競輪,2R,11:27,5-8,5,8,403.3,0.010128173016688462,3.0846921776304566
2320260312010002,取手競輪,2R,11:27,6-9,6,9,333.1,0.012216106960067533,3.0691852283984957
5520260312010007,和歌山競輪,7R,10:55,3-7,3,7,222.0,0.01831808386244023,3.066614617461731
2420260309040009,宇都宮競輪,9R,14:54,5-7,5,7,104.2,0.038981022847317984,3.061822580690534
3820260310030010,静岡競輪,10R,19:45,2-6,2,6,139.3,0.029098350560020185,3.0534002330108123
2320260312010003,取手競輪,3R,11:50,2-6,2,6,188.3,0.021523319216103266,3.052841008392245
3820260310030010,静岡競輪,10R,19:45,1-2,1,2,92.8,0.043336093560718936,3.0215894824347167
2620260312010005,西武園競輪,5R,17:23,2-8,2,8,199.1,0.020155461358072405,3.0129523563922156
2420260309040006,宇都宮競輪,6R,13:30,6-7,6,7,34.0,0.11781970409956041,3.005869939385054
2320260312010007,取手競輪,7R,13:25,2-4,2,4,118.2,0.03385104561399355,3.0011935915740375
2620260312010005,西武園競輪,5R,17:23,5-8,5,8,93.7,0.042682653357054505,2.9993646195560073
2420260309040009,宇都宮競輪,9R,14:54,1-7,1,7,59.7,0.0665485588299835,2.9729489621500154
