race_id,settled,sanrentan_result,stake_total,payout_total,profit_total,hit_any,bankroll_after,drawdown
1320260404020002,False,,0,0,0,False,65100,0.0
1320260404020003,False,,0,0,0,False,65100,0.0
1320260404020004,False,,0,0,0,False,65100,0.0
1320260404020005,False,,0,0,0,False,65100,0.0
1320260404020006,False,,0,0,0,False,65100,0.0
1320260404020007,False,,0,0,0,False,65100,0.0
2120260504020001,True,1-3-4,300,0,-300,False,64800,0.352
2120260504020002,True,1-3-2,300,0,-300,False,64500,0.355
2120260504020003,True,1-4-3,400,0,-400,False,64100,0.359
2120260504020004,False,,0,0,0,False,64100,0.0
2120260504020005,False,,0,0,0,False,64100,0.0
2120260504020006,False,,0,0,0,False,64100,0.0
2120260504020007,False,,0,0,0,False,64100,0.0
2120260504020008,False,,0,0,0,False,64100,0.0
2120260504020009,False,,0,0,0,False,64100,0.0
2120260504030001,False,,0,0,0,False,64100,0.0
2120260504030002,False,,0,0,0,False,64100,0.0
2120260504030003,False,,0,0,0,False,64100,0.0
2120260504030004,False,,0,0,0,False,64100,0.0
2120260504030005,False,,0,0,0,False,64100,0.0
2120260504030006,False,,0,0,0,False,64100,0.0
2120260504030007,False,,0,0,0,False,64100,0.0
2120260504030008,False,,0,0,0,False,64100,0.0
2120260504030009,False,,0,0,0,False,64100,0.0
2120260527010001,True,2-5-7,600,0,-600,False,63500,0.365
2120260527010002,True,1-6-7,400,0,-400,False,63100,0.369
2120260527010003,True,7-3-6,500,0,-500,False,62600,0.374
2120260527010004,True,1-4-7,400,0,-400,False,62200,0.378
2120260527010005,True,1-4-7,100,0,-100,False,62100,0.379
2120260527010006,True,2-6-5,0,0,0,False,62100,0.379
2120260527010007,True,1-7-4,500,0,-500,False,61600,0.384
2120260527010008,True,2-1-3,200,0,-200,False,61400,0.386
2120260527010009,True,2-7-5,600,0,-600,False,60800,0.392
2120260527010010,True,2-4-1,500,0,-500,False,60300,0.397
2120260527010011,True,2-7-3,100,0,-100,False,60200,0.398
2120260527010012,True,6-2-7,300,0,-300,False,59900,0.401
2120260604010001,True,4-1-7,300,0,-300,False,59600,0.404
2120260604010002,True,7-4-2,400,0,-400,False,59200,0.408
2120260604010003,True,5-2-7,500,0,-500,False,58700,0.413
2120260604010004,False,,0,0,0,False,58700,0.0
2120260604010005,False,,0,0,0,False,58700,0.0
2120260604010006,False,,0,0,0,False,58700,0.0
2120260604010007,False,,0,0,0,False,58700,0.0
2120260604010008,False,,0,0,0,False,58700,0.0
2120260604010009,False,,0,0,0,False,58700,0.0
2120260604010010,False,,0,0,0,False,58700,0.0
2120260604010011,False,,0,0,0,False,58700,0.0
2120260604010012,False,,0,0,0,False,58700,0.0
2120260612020001,True,1-4-6,0,0,0,False,58700,0.413
2120260612020002,True,2-5-1,0,0,0,False,58700,0.413
2120260612020003,False,,0,0,0,False,58700,0.0
2120260612020004,False,,0,0,0,False,58700,0.0
2120260612020005,False,,0,0,0,False,58700,0.0
2120260612020006,False,,0,0,0,False,58700,0.0
2120260612020007,False,,0,0,0,False,58700,0.0
2120260612020008,False,,0,0,0,False,58700,0.0
2120260612020009,False,,0,0,0,False,58700,0.0
2120260707010001,True,4-1-3,300,0,-300,False,58400,0.416
2120260707010002,True,2-3-7,300,0,-300,False,58100,0.419
2120260707010003,True,1-3-7,200,0,-200,False,57900,0.421
2120260707010004,True,1-4-7,300,0,-300,False,57600,0.424
2120260707010005,True,5-6-2,300,0,-300,False,57300,0.427
2120260707010006,True,2-4-3,200,0,-200,False,57100,0.429
2120260707010007,True,1-2-3,200,0,-200,False,56900,0.431
2120260707010008,True,2-4-6,200,0,-200,False,56700,0.433
2120260707010009,False,,0,0,0,False,56700,0.0
2120260707020001,True,3-4-2,200,0,-200,False,56500,0.435
