race_id,競輪場,レース番号,開始時間,買い目,a,b,odds,p,EV,market_raw,market_prob,market_overround,distortion_ratio,distortion_log,model_rank,market_rank,ev_rank,rank_gap,distortion_z,ev_z,distortion_score
6220260228010002,広島競輪,2R,09:20,3-6,3,6,82.5,0.0448381103098934,2.6991441005662127,0.012121212121212121,0.008930516151118985,1.3572801298493082,5.020774784585599,1.6135842613757,10.0,13.0,8.0,3.0,0.806597790945382,0.6315875293014991,-0.02816421065666186
6220260228010002,広島競輪,2R,09:20,4-5,4,5,36.3,0.0872795085777893,2.1682461613737525,0.027548209366391185,0.020296627616179515,1.3572801298493082,4.3001975610920695,1.458660966095577,2.0,11.0,9.0,9.0,0.6502377143469861,0.35565271703638174,-0.05591324128999481
6220260228010002,広島競輪,2R,09:20,6-7,6,7,307.3,0.0130997438731662,3.025551292223988,0.0032541490400260333,0.0023975515212083186,1.3572801298493082,5.463800778345896,1.6981446609088673,21.0,21.0,7.0,0.0,0.8919424160018655,0.8012380412041673,-0.18068989974912353
6220260228010002,広島競輪,2R,09:20,3-5,3,5,12.8,0.0903752372509844,0.1568030368126003,0.078125,0.057559967380259085,1.3572801298493082,1.5701057759878025,0.4511429903424454,1.0,4.0,12.0,3.0,-0.3666241305948863,-0.6897971519195705,-0.8710082055356754
6220260228010002,広島競輪,2R,09:20,2-4,2,4,31.7,0.0440639537168404,0.3968273328238427,0.031545741324921134,0.02324187957310146,1.3572801298493082,1.8958859835906339,0.6396862668103209,12.0,10.0,11.0,-2.0,-0.17633227618187236,-0.5650442490176076,-0.8821020541514069
6220260228010002,広島競輪,2R,09:20,2-7,2,7,117.7,0.0147859825718715,0.7403101487092765,0.008496176720475786,0.0062597075825600364,1.3572801298493082,2.362088384240846,0.8595461363810121,20.0,15.0,10.0,-5.0,0.04556660600255057,-0.38651866185520967,-0.9359874296495917
6220260228010002,広島競輪,2R,09:20,1-4,1,4,12.8,0.0714206697251101,-0.0858154275185896,0.078125,0.057559967380259085,1.3572801298493082,1.2408045552222449,0.21576000408526672,6.0,4.0,16.0,-2.0,-0.6041900931222384,-0.8158983767785514,-1.0746981515084815
6220260228010002,広島競輪,2R,09:20,1-2,1,2,28.8,0.037176612315819,0.0706864346955882,0.034722222222222224,0.025582207724559596,1.3572801298493082,1.4532214230547136,0.37378276326959947,13.0,8.0,14.0,-5.0,-0.4447018077376822,-0.7345563545531546,-1.1011328935506404
6220260228010002,広島競輪,2R,09:20,2-6,2,6,53.1,0.0216225944212823,0.1481597637700911,0.018832391713747645,0.013875095715015372,1.3572801298493082,1.5583744331453044,0.44364324798188565,19.0,12.0,13.0,-7.0,-0.3741934266639185,-0.6942895029879673,-1.1621868588163473
6220260228010002,広島競輪,2R,09:20,2-3,2,3,19.9,0.0450084597733209,-0.1043316505109139,0.05025125628140704,0.03702349660639781,1.3572801298493082,1.2156728536636268,0.19529771255373862,8.0,7.0,17.0,-1.0,-0.6248421549407229,-0.8255222048970362,-1.1802587013186225
6220260228010002,広島競輪,2R,09:20,2-5,2,5,19.6,0.0454422373706607,-0.1093321475350487,0.0510204081632653,0.03759018277894471,1.3572801298493082,1.208885778414072,0.18969909110720742,7.0,6.0,18.0,-1.0,-0.6304926988220818,-0.8281212189555305,-1.181945368667443
6220260228010002,広島競輪,2R,09:20,3-7,3,7,29.4,0.032281272618576,-0.0509305850138656,0.034013605442176874,0.025060121852629808,1.3572801298493082,1.2881530587569852,0.25320945509153997,16.0,9.0,15.0,-7.0,-0.5663933304254405,-0.7977669399112673,-1.2091803495779494
6220260228010002,広島競輪,2R,09:20,1-3,1,3,7.3,0.0739461395063406,-0.460193181603713,0.136986301369863,0.10092706609141319,1.3572801298493082,0.7326690685591941,-0.3110611543902762,5.0,3.0,19.0,-2.0,-1.1358970681381528,-1.010481643473556,-1.3919766861672964
6220260228010002,広島競輪,2R,09:20,1-5,1,5,3.4,0.0749771772480769,-0.7450775973565382,0.29411764705882354,0.2166963477845048,1.3572801298493082,0.3460011117598183,-1.061313290737572,4.0,2.0,20.0,-2.0,-1.8931071526206789,-1.158550645017591,-1.8122330728358418
6220260228010002,広島競輪,2R,09:20,3-4,3,4,2.2,0.085547039220923,-0.8117965137139692,0.45454545454545453,0.33489435566696196,1.3572801298493082,0.25544485230363334,-1.3647487348798186,3.0,1.0,21.0,-2.0,-2.19935670148912,-1.1932278782493173,-1.9493844918167864
6220260228010003,広島競輪,3R,09:40,6-7,6,7,93.5,0.0581936532244257,4.441106576483808,0.0106951871657754,0.007986032408687387,1.339236634469569,7.286929258367947,1.9860822307355976,6.0,18.0,1.0,12.0,1.597850211635255,2.773897864979509,1.0622986690513256
6220260228010003,広島競輪,3R,09:40,1-7,1,7,62.3,0.0657647547695666,3.097144222144,0.01605136436597111,0.011985457948832596,1.339236634469569,5.48704563854276,1.7023899756340453,5.0,15.0,2.0,10.0,1.2887528408015023,1.7607609584441697,0.6282704627454269
6220260228010003,広島競輪,3R,09:40,5-7,5,7,38.5,0.0860923907409192,2.314557043525391,0.025974025974025976,0.019394650135383655,1.339236634469569,4.43897621949947,1.4904237686740054,2.0,12.0,3.0,10.0,1.05780470563476,1.1708129210757003,0.3896793794530658
6220260228010003,広島競輪,3R,09:40,5-6,5,6,83.1,0.0386800976929181,2.214316118281499,0.012033694344163659,0.00898548772818617,1.339236634469569,4.304729899889521,1.4597143949127453,13.0,17.0,4.0,4.0,1.0243452561120416,1.0952469793795692,0.1902607053290285
6220260228010003,広島競輪,3R,09:40,1-6,1,6,113.3,0.0249868226255926,1.831007003479644,0.008826125330979701,0.006590415094547844,1.339236634469569,3.7913882909245658,1.332732255735572,18.0,20.0,5.0,2.0,0.8859916540778241,0.8062920026548553,-0.05299790976735175
6220260228010003,広島競輪,3R,09:40,1-4,1,4,110.0,0.0196393870471516,1.16033257518668,0.00909090909090909,0.006788127547384278,1.339236634469569,2.8931965269017668,1.0623619556082928,20.0,19.0,6.0,-1.0,0.5914092415584585,0.30070863316615176,-0.4001264264516764
6220260228010003,広島競輪,3R,09:40,4-5,4,5,63.4,0.0310905617813279,0.9711416169361932,0.015772870662460567,0.011777508362969568,1.339236634469569,2.6398250649043846,0.9707126517010861,16.0,16.0,7.0,0.0,0.49155258926345496,0.15808831231608478,-0.4009674087782742
6220260228010003,広島競輪,3R,09:40,4-7,4,7,37.4,0.0473926257023617,0.7724842012683295,0.026737967914438502,0.019965081021718466,1.339236634469569,2.3737757762381806,0.8644818419746138,11.0,11.0,9.0,0.0,0.37580863292513633,0.008331766740139235,-0.4194538811679369
6220260228010003,広島競輪,3R,09:40,1-2,1,2,47.9,0.0337465123762602,0.6164579428228669,0.020876826722338204,0.015588601883345942,1.339236634469569,2.164819694968823,0.77233707624637,15.0,13.0,10.0,-2.0,0.27541214937468944,-0.10928757007333181,-0.5728558371293146
6220260228010003,広島競輪,3R,09:40,4-6,4,6,143.9,0.0125587800620091,0.807208450923123,0.006949270326615705,0.0051889786672152235,1.339236634469569,2.4202797631328012,0.8838831381668548,21.0,21.0,8.0,0.0,0.3969473476272417,0.034508406854660834,-0.666640854410121
6220260228010003,広島競輪,3R,09:40,1-3,1,3,22.8,0.0551875603489677,0.2582763759564657,0.043859649122807015,0.032749738167204855,1.339236634469569,1.6851298189170456,0.5218426047224015,8.0,9.0,12.0,1.0,0.0024854791392520917,-0.37930031519316587,-0.6919508964032053
6220260228010003,広島競輪,3R,09:40,2-6,2,6,52.7,0.026578923879142,0.4007092884307845,0.018975332068311195,0.014168767176703427,1.339236634469569,1.8758811931759116,0.6290785187526496,17.0,14.0,11.0,-3.0,0.11932454855212246,-0.27192823005471245,-0.7474435372585602
6220260228010003,広島競輪,3R,09:40,3-5,3,5,14.3,0.0736712508922105,0.05349888775861,0.06993006993006992,0.05221636574910983,1.339236634469569,1.4108843048322552,0.3442166743646012,3.0,5.0,14.0,2.0,-0.19104715024409713,-0.5336704359416495,-0.7772532336543551
6220260228010003,広島競輪,3R,09:40,2-5,2,5,22.6,0.0478421207537989,0.0812319290358558,0.04424778761061947,0.033039558858950026,1.339236634469569,1.4480254096791916,0.37020084195144887,9.0,8.0,13.0,-1.0,-0.16273605700849517,-0.5127640708506065,-0.8431670177921242
6220260228010003,広島競輪,3R,09:40,3-7,3,7,8.7,0.100291437685166,-0.1274644921390557,0.1149425287356322,0.08582690002439894,1.339236634469569,1.1685315169892718,0.1557478468203869,1.0,3.0,16.0,2.0,-0.39639367638448514,-0.6700884526470078,-0.8591583649254346
6220260228010003,広島競輪,3R,09:40,3-4,3,4,24.9,0.0384695617553974,-0.0421079122906026,0.040160642570281124,0.029987712056717696,1.339236634469569,1.2828441756861806,0.24907962519397742,14.0,10.0,15.0,-4.0,-0.29470388122180624,-0.6057429737867916,-0.980652423568998
6220260228010003,広島競輪,3R,09:40,1-5,1,5,17.9,0.0459815632379544,-0.1769300180406154,0.0558659217877095,0.041714750291188304,1.339236634469569,1.1022854725457898,0.09738572670202991,12.0,7.0,17.0,-5.0,-0.459982221931526,-0.7073777038899624,-1.058107374530283
6220260228010003,広島競輪,3R,09:40,3-6,3,6,15.0,0.0475573583408123,-0.2866396248878141,0.06666666666666667,0.049779602014151374,1.339236634469569,0.9553583479099996,-0.04566877544921879,10.0,6.0,18.0,-4.0,-0.6158474939145552,-0.7900815469994515,-1.154111961536771
6220260228010003,広島競輪,3R,09:40,2-3,2,3,3.7,0.0572659357279302,-0.7881160378066581,0.27027027027027023,0.2018091973546677,1.339236634469569,0.28376276442448234,-1.2596167264249611,7.0,2.0,19.0,-5.0,-1.938506513426046,-1.168116140040275,-1.8916979631125324
6220260228010003,広島競輪,3R,09:40,2-7,2,7,2.8,0.0680337608218506,-0.8095054696988183,0.35714285714285715,0.26667643936152524,1.339236634469569,0.25511725364445925,-1.3660320212794457,4.0,1.0,21.0,-3.0,-2.0544514758440195,-1.1842404182165165,-1.9200481062517252
6220260228010003,広島競輪,3R,09:40,2-4,2,4,9.6,0.0209749405342363,-0.798640570871331,0.10416666666666667,0.07778062814711154,1.339236634469569,0.2696679241815246,-1.3105639873354542,19.0,4.0,20.0,-15.0,-1.9940161867267059,-1.1760499879173678,-2.1227084620712304
6220260228010004,広島競輪,4R,10:00,2-3,2,3,148.2,0.0360715035517689,4.3457968263721565,0.006747638326585695,0.0049538690944212925,1.3620945967636535,7.281480971127935,1.9853342716472113,15.0,18.0,1.0,3.0,1.31316057099283,2.1299337149812576,0.6311099798640776
6220260228010004,広島競輪,4R,10:00,6-7,6,7,250.9,0.0181160571802452,3.5453187465235283,0.0039856516540454365,0.00292611956872553,1.3620945967636535,6.191154103092406,1.8231215157527714,21.0,21.0,2.0,0.0,1.1373055444034221,1.5875543211789633,0.24272774917569684
6220260228010004,広島競輪,4R,10:00,3-5,3,5,50.1,0.0716605924685896,2.59019568267634,0.01996007984031936,0.014653960075713283,1.3620945967636535,4.890186140363927,1.5872303682903575,5.0,14.0,6.0,9.0,0.8815756927004916,0.940392229652372,0.19574265537538105
6220260228010004,広島競輪,4R,10:00,3-6,3,6,217.5,0.0194508755260607,3.230565426918215,0.004597701149425287,0.0033754639070953355,1.3620945967636535,5.762430307553251,1.7513593141671178,20.0,20.0,3.0,0.0,1.0595080629515201,1.3742871262583076,0.15406753021604702
6220260228010004,広島競輪,4R,10:00,2-7,2,7,98.8,0.0363660590283535,2.592966632001333,0.010121457489878543,0.007430803641631938,1.3620945967636535,4.893960435142503,1.5880018806553695,14.0,17.0,5.0,3.0,0.8824120901016402,0.9422697399215237,0.061063090310369494
6220260228010004,広島競輪,4R,10:00,2-6,2,6,155.3,0.0240736692033033,2.7386408272730054,0.00643915003219575,0.004727388279415553,1.3620945967636535,5.092382468991344,1.6277457896581657,19.0,19.0,4.0,0.0,0.9254985054449684,1.0409741063659212,0.02971416465113974
6220260228010004,広島競輪,4R,10:00,5-7,5,7,37.5,0.075613937234099,1.8355226462787144,0.02666666666666667,0.019577690661152947,1.3620945967636535,3.8622500752999325,1.351249934719637,4.0,8.0,8.0,4.0,0.625749045829612,0.42904892831214825,-0.0748337301568116
6220260228010004,広島競輪,4R,10:00,5-6,5,6,55.2,0.0543092911237214,1.9978728700294253,0.018115942028985508,0.013300061590457164,1.3620945967636535,4.083386437744401,1.406926653418367,7.0,15.0,7.0,8.0,0.6861082376403208,0.5390524601493084,-0.07784213501707826
6220260228010004,広島競輪,4R,10:00,1-7,1,7,45.9,0.04677291545816,1.146876819529548,0.02178649237472767,0.015994845311399466,1.3620945967636535,2.924249315615505,1.073037803532417,9.0,13.0,9.0,4.0,0.32413896925053953,-0.03755636102609749,-0.46168761830100413
6220260228010004,広島競輪,4R,10:00,2-5,2,5,22.3,0.0791007299501878,0.7639462778891883,0.04484304932735426,0.03292212555126616,1.3620945967636535,2.402661694021241,0.8765771620124291,3.0,6.0,12.0,3.0,0.11115577228943146,-0.297018350394448,-0.5409342541824047
6220260228010004,広島競輪,4R,10:00,1-3,1,3,40.7,0.0459523425486964,0.8702603417319437,0.02457002457002457,0.018038412771332564,1.3620945967636535,2.5474715058732,0.9351013009407612,10.0,10.0,10.0,0.0,0.17460185549426538,-0.22498320171105607,-0.5962241229807865
6220260228010004,広島競輪,4R,10:00,4-6,4,6,74.1,0.0250249808610489,0.8543510818037297,0.01349527665317139,0.009907738188842585,1.3620945967636535,2.525801588772755,0.9265584732873349,18.0,16.0,11.0,-2.0,0.16534056666492303,-0.23576282825290915,-0.7256347088502983
6220260228010004,広島競輪,4R,10:00,4-7,4,7,41.2,0.0378150604267873,0.5579804895836387,0.024271844660194174,0.017819499994981444,1.3620945967636535,2.1221168066059737,0.752414084229193,12.0,11.0,13.0,-1.0,-0.02344955652455321,-0.4365744509516307,-0.7977066798859319
6220260228010004,広島競輪,4R,10:00,3-4,3,4,39.7,0.0375149730626297,0.4893444305863994,0.025188916876574305,0.018492780851214998,1.3620945967636535,2.028628001512076,0.7073597032590262,13.0,9.0,14.0,-4.0,-0.07229306035253774,-0.483080139250979,-0.8376736007517036
6220260228010004,広島競輪,4R,10:00,3-7,3,7,45.3,0.0304292988212435,0.3784472366023317,0.02207505518763797,0.01620669756717959,1.3620945967636535,1.8775755327839723,0.6299813343905614,17.0,12.0,15.0,-5.0,-0.15617903491586932,-0.5582206763395502,-0.9440255918912768
6220260228010004,広島競輪,4R,10:00,1-2,1,2,22.5,0.0525769966963724,0.1829824256683803,0.044444444444444446,0.03262948443525491,1.3620945967636535,1.6113339700198768,0.47706238876237356,8.0,7.0,16.0,-1.0,-0.3219586316016498,-0.6906616367267283,-0.9572731228264464
6220260228010004,広島競輪,4R,10:00,4-5,4,5,7.0,0.082314908750039,-0.4237956387497263,0.14285714285714285,0.10488048568474792,1.3620945967636535,0.7848448470831658,-0.24226922775014217,2.0,2.0,18.0,0.0,-1.1017868260670038,-1.10179584144331,-1.3808727727498114
6220260228010004,広島競輪,4R,10:00,1-6,1,6,20.5,0.031525304196887,-0.3537312639638156,0.04878048780487805,0.03581284877040173,1.3620945967636535,0.8802791533875813,-0.12751620202309896,16.0,5.0,17.0,-11.0,-0.9773829450086221,-1.0543223701763578,-1.4963811331092582
6220260228010004,広島競輪,4R,10:00,1-4,1,4,7.5,0.05469425789696,-0.5897930657727999,0.13333333333333333,0.09788845330576473,1.3620945967636535,0.5587406486601445,-0.5820698693548387,6.0,3.0,19.0,-3.0,-1.47016507434347,-1.2142706063469793,-1.6805630289773386
6220260228010004,広島競輪,4R,10:00,2-4,2,4,7.6,0.043323101374393,-0.670744429554613,0.13157894736842105,0.09660044734121519,1.3620945967636535,0.4484772334533532,-0.8018973602795989,11.0,4.0,20.0,-7.0,-1.7084802983743912,-1.2691207674204112,-1.8627902328497576
6220260228010004,広島競輪,4R,10:00,1-5,1,5,1.7,0.0972931446404523,-0.8346016541112309,0.5882352941176471,0.4318608234077856,1.3620945967636535,0.2252881932482163,-1.4903748374864272,1.0,1.0,21.0,0.0,-2.4548594865758613,-1.380145396779345,-2.107478711955123
6220260228010005,広島競輪,5R,10:20,5-6,5,6,219.8,0.0461493500961391,9.143627151131389,0.004549590536851683,0.0033617632218590856,1.3533346153795205,13.727721745046152,2.6194172734072896,9.0,21.0,1.0,12.0,1.891352348522865,3.3431213643197784,1.3334381034504417
6220260228010005,広島競輪,5R,10:20,3-6,3,6,146.5,0.0459485591080594,5.731463909330709,0.006825938566552901,0.005043792192250014,1.3533346153795205,9.109923118869023,2.209364272055937,10.0,17.0,2.0,7.0,1.4714004856732328,1.8663191258998137,0.6795494229120058
6220260228010005,広島競輪,5R,10:20,6-7,6,7,172.7,0.026393581134168,3.558171461870815,0.005790387955993052,0.004278607736911564,1.3533346153795205,6.168731220743081,1.819493179976468,16.0,19.0,3.0,3.0,1.0721177323451951,0.9257066980324314,0.08684398813986782
6220260228010005,広島競輪,5R,10:20,3-4,3,4,98.6,0.0397421808245243,2.9185790292981024,0.010141987829614604,0.007494072577734554,1.3533346153795205,5.303148642741747,1.668300727721653,13.0,15.0,4.0,2.0,0.917275427170091,0.6488877215753173,0.008235596852970706
6220260228010005,広島競輪,5R,10:20,1-6,1,6,79.2,0.0386313894138698,2.059606041578494,0.012626262626262626,0.009329741870765493,1.3533346153795205,4.140670765048666,1.420857795282354,14.0,14.0,5.0,0.0,0.6638591124878316,0.2771196843763797,-0.23567256558330907
6220260228010005,広島競輪,5R,10:20,2-5,2,5,56.8,0.0478670981205574,1.718851173247661,0.017605633802816902,0.013009076693039209,1.3533346153795205,3.679515406538438,1.3027810605249033,7.0,11.0,7.0,4.0,0.5429319529324128,0.12963918105851693,-0.29750764869527546
6220260228010005,広島競輪,5R,10:20,4-5,4,5,70.0,0.0399489711974677,1.7964279838227415,0.014285714285714285,0.010555936516637528,1.3533346153795205,3.784502789564756,1.3309145148944364,12.0,13.0,6.0,1.0,0.5717445613804538,0.16321483362498132,-0.30919374108828696
6220260228010005,広島競輪,5R,10:20,5-7,5,7,26.0,0.07686018245452,0.99836474381752,0.038461538461538464,0.028419829083254886,1.3533346153795205,2.704456181867117,0.9949008502762225,5.0,9.0,10.0,4.0,0.22761937772293636,-0.18219114367475508,-0.4540011182369433
6220260228010005,広島競輪,5R,10:20,1-2,1,2,49.3,0.0402057697389426,0.9821444481298732,0.02028397565922921,0.014988145155469108,1.3533346153795205,2.6825046941575144,0.9867509454649818,11.0,10.0,11.0,-1.0,0.21927273059134977,-0.1892113731543709,-0.5898760002079955
6220260228010005,広島競輪,5R,10:20,3-7,3,7,17.5,0.0773373021365095,0.3534027873889169,0.05714285714285714,0.04222374606655011,1.3533346153795205,1.8316068406811714,0.6051936366184931,4.0,5.0,13.0,1.0,-0.1714955410855058,-0.4613340783623798,-0.7360637693628956
6220260228010005,広島競輪,5R,10:20,4-6,4,6,201.5,0.0109255990318066,1.2015082049090413,0.004962779156327543,0.003667074720419985,1.3533346153795205,2.9793772589329537,1.0917143052584026,20.0,20.0,8.0,0.0,0.3267699524893401,-0.09426958283465324,-0.7682252402308238
