race_id,競輪場,レース番号,開始時間,best_bet_distortion,best_odds_distortion,best_p_distortion,best_EV_distortion,market_prob,distortion_ratio,distortion_log,distortion_z,rank_gap,distortion_score
8720260304030001,熊本競輪,1R,20:41,2-4,815.2,0.0764953628551559,61.35901979952312,0.00907444887296893,8.429753026058847,2.1317674745702506,1.291376554633432,6.0,0.8136034134899722
7520260305030002,松山競輪,2R,11:32,1-8,126.4,0.0266377601240535,2.3670128796803733,0.005884730307439408,4.526589788805064,1.5099688500284572,1.5606410187788704,10.0,0.8126930988747991
4520260304020001,豊橋競輪,1R,08:50,5-6,162.3,0.0358148068473307,4.812743151321781,0.004587012591498674,7.807871926469112,2.0551324461441833,1.4822233801060665,7.0,0.8109910045182169
7520260305010012,松山競輪,12R,16:20,4-7,113.6,0.02774403616374,2.15172250820087,0.006576414589858408,4.218717628037897,1.4395312022913263,1.6399850379271388,10.0,0.8044872942020651
4420260228040008,大垣競輪,8R,14:19,2-3,85.9,0.0468643436217547,3.025647117108736,0.008699553422248756,5.386982680802219,1.6839854287159068,1.5049142402290543,15.0,0.8041489806477472
3820260301030002,静岡競輪,2R,21:05,3-6,106.8,0.1026061940367216,9.958341523121874,0.006927386543932124,14.811674413027424,2.695415681522425,1.2987117901486076,8.0,0.804042507946274
3620260303010002,小田原競輪,2R,09:10,5-6,189.8,0.0364619239074988,5.920473157643277,0.003925231743347592,9.289113683543565,2.228843142870522,1.5240272592378972,5.0,0.8025317627047619
2620260304020009,西武園競輪,9R,14:36,1-6,251.7,0.0277159011858513,5.976092328478779,0.0029120268999687144,9.517735284873686,2.253156930294621,1.5694187634216612,4.0,0.7997207923685131
2620260304030001,西武園競輪,1R,11:05,1-6,72.7,0.0623643306056498,3.533886835030746,0.010295387778789633,6.057501858072226,1.8012974804636526,1.4021758363870944,9.0,0.7994662366783296
3620260303010003,小田原競輪,3R,09:31,3-6,217.3,0.0527213967954684,10.456359523655296,0.0033669882974066067,15.658324925102434,2.751002719669025,1.342345294867566,10.0,0.7969804817935389
2820260307010003,立川競輪,3R,09:31,1-4,166.6,0.027311255581934,3.55005517995022,0.00444333325378776,6.146569256876175,1.8158940817915807,1.5576238271242817,4.0,0.7917862733571175
4420260228010002,大垣競輪,2R,11:44,5-9,147.7,0.0312069260907266,3.60926298360033,0.005047875300252906,6.182190372844768,1.8216726379693369,1.5074243375850969,15.0,0.7905426753816918
3620260308010012,小田原競輪,12R,16:02,3-4,77.7,0.0437684098080085,2.400805442082264,0.009549231805063615,4.583448249755151,1.522451607826855,1.515130303468612,9.0,0.7903175890529757
4320260307010008,岐阜競輪,8R,23:10,4-6,219.5,0.0326403505129841,6.164556937600022,0.003320574588592518,9.829729654405847,2.2854114317164917,1.478624627382409,8.0,0.7881847406447082
4420260228010009,大垣競輪,9R,14:50,2-6,149.5,0.0363506998841599,4.434429632681907,0.00499157738110113,7.282407363753742,1.9854614894072222,1.4679654167030551,15.0,0.7878961231221185
8120260306030001,小倉競輪,1R,15:54,6-7,193.8,0.0269805646652424,4.228833432123985,0.003855401298466909,6.998120965766401,1.9456416795957236,1.5486809400704282,4.0,0.7859912569060183
2820260307020002,立川競輪,2R,09:10,4-5,216.5,0.0301474481952863,5.526922534279494,0.0034143241415468192,8.829697163081493,2.178120717694143,1.458471854500303,2.0,0.7816050368572068
3720260304010003,伊東競輪,3R,16:42,3-5,178.7,0.0260716708930648,3.65900758859068,0.004170889177238177,6.250866368997538,1.8327200732195406,1.5103612509739675,4.0,0.7785687868818972
2620260304020005,西武園競輪,5R,12:49,5-6,284.0,0.0321093851712463,8.11906538863396,0.002598450100958521,12.357129793273536,2.514233207721368,1.4771519964428386,3.0,0.7777563044494604
7520260305040004,松山競輪,4R,12:30,2-8,313.2,0.0134603625811248,3.215785560408311,0.002383637110313534,5.64698481880377,1.7311217423965422,1.5912892391462823,8.0,0.7776127109156072
7520260305040010,松山競輪,10R,15:12,4-6,501.4,0.0176549291197981,7.852181460666769,0.0014766514772849018,11.95605691622231,2.4812380049405975,1.5238191163569093,9.0,0.7758277698624998
8120260306010006,小倉競輪,6R,17:46,5-6,224.2,0.0220749376994009,3.949201032205698,0.003320195237091161,6.6486866332873165,1.8944193364538289,1.5722085154906988,2.0,0.7741913439196556
2220260307010002,前橋競輪,2R,16:26,5-6,101.3,0.0652197644989624,5.606762143744894,0.0072721456107069146,8.968434899594103,2.193711179211742,1.3008532387370104,9.0,0.7721881309569013
4420260228010003,大垣競輪,3R,12:10,3-4,252.7,0.0278197400378204,6.030048307557236,0.0029365639636193203,9.473568555972795,2.248505663704548,1.4802751746274632,13.0,0.7703019189858682
8320260301030002,久留米競輪,2R,16:14,4-7,169.0,0.0343202653063031,4.800124836765227,0.004385317693400261,7.826175364701086,2.057473931527086,1.429649531404327,7.0,0.7666002000567369
2220260307010001,前橋競輪,1R,16:03,3-7,258.3,0.0389055737129624,9.049309690058212,0.0028698771550365026,13.556529285976014,2.6068682974149056,1.497123963732845,8.0,0.7645589135219192
2620260304020003,西武園競輪,3R,11:57,1-6,157.6,0.0382139651259622,5.022520903851657,0.0047113618824782206,8.111023112015813,2.093224014575957,1.4841306489587007,5.0,0.7613488734114242
7520260227020005,松山競輪,5R,17:24,3-5,166.2,0.0504651718174418,7.387311556058826,0.004485783951588739,11.250022816707082,2.4203701568199287,1.3531859101589354,10.0,0.7607065756565865
2220260307020011,前橋競輪,11R,20:16,3-6,116.2,0.0355355418541499,3.1292299634522287,0.006411434394557672,5.542526003037888,1.712450354097479,1.5099611447729995,5.0,0.7602085108233918
