EV_MIN,odds_min,odds_max,ratio_min,rank_gap_min,bets,hits,hit_rate,stake,payout,ROI,mean_EV,mean_p,mean_odds
5,20,300,2.0,5,81,1,0.012345679012345678,8100,14550,1.7962962962962963,7.317496726901286,0.04898873569238972,182.46913580246914
5,20,300,3.0,5,81,1,0.012345679012345678,8100,14550,1.7962962962962963,7.317496726901286,0.04898873569238972,182.46913580246914
5,50,300,1.0,5,81,1,0.012345679012345678,8100,14550,1.7962962962962963,7.317496726901286,0.04898873569238972,182.46913580246914
5,50,300,1.5,5,81,1,0.012345679012345678,8100,14550,1.7962962962962963,7.317496726901286,0.04898873569238972,182.46913580246914
5,50,300,2.0,5,81,1,0.012345679012345678,8100,14550,1.7962962962962963,7.317496726901286,0.04898873569238972,182.46913580246914
5,50,300,3.0,5,81,1,0.012345679012345678,8100,14550,1.7962962962962963,7.317496726901286,0.04898873569238972,182.46913580246914
0,80,200,5.0,8,83,1,0.012048192771084338,8300,14550,1.7530120481927711,5.185151261742888,0.049677601435655326,128.78192771084338
1,80,200,5.0,8,83,1,0.012048192771084338,8300,14550,1.7530120481927711,5.185151261742888,0.049677601435655326,128.78192771084338
2,80,200,5.0,8,83,1,0.012048192771084338,8300,14550,1.7530120481927711,5.185151261742888,0.049677601435655326,128.78192771084338
3,80,200,1.0,8,83,1,0.012048192771084338,8300,14550,1.7530120481927711,5.185151261742888,0.049677601435655326,128.78192771084338
3,80,200,1.5,8,83,1,0.012048192771084338,8300,14550,1.7530120481927711,5.185151261742888,0.049677601435655326,128.78192771084338
3,80,200,2.0,8,83,1,0.012048192771084338,8300,14550,1.7530120481927711,5.185151261742888,0.049677601435655326,128.78192771084338
3,80,200,3.0,8,83,1,0.012048192771084338,8300,14550,1.7530120481927711,5.185151261742888,0.049677601435655326,128.78192771084338
3,80,200,5.0,8,83,1,0.012048192771084338,8300,14550,1.7530120481927711,5.185151261742888,0.049677601435655326,128.78192771084338
5,80,300,5.0,3,87,1,0.011494252873563218,8700,14550,1.6724137931034482,7.2604885270984125,0.04732479168622951,187.53908045977013
5,0,300,5.0,3,88,1,0.011363636363636364,8800,14550,1.6534090909090908,7.23840158598071,0.0477265681652741,186.27613636363637
5,20,300,5.0,3,88,1,0.011363636363636364,8800,14550,1.6534090909090908,7.23840158598071,0.0477265681652741,186.27613636363637
5,50,300,5.0,3,88,1,0.011363636363636364,8800,14550,1.6534090909090908,7.23840158598071,0.0477265681652741,186.27613636363637
5,80,300,1.0,3,88,1,0.011363636363636364,8800,14550,1.6534090909090908,7.3171921187440185,0.047354994796372014,188.42045454545453
5,80,300,1.5,3,88,1,0.011363636363636364,8800,14550,1.6534090909090908,7.3171921187440185,0.047354994796372014,188.42045454545453
